A Place,-123.764,272.182,2764,,
Aalzorg,583.881,256.931,2764,,
Abadan,-70.319,-95.949,2764,,
Abagnar,380.231,314.823,2764,,
Abbadiyah,-317.967,246.551,2764,,
Abbeville,605.903,-39.852,2764,,
Abejorral,-299.341,127.388,2764,,
Aberystwyth,-430.967,58.633,2764,,
Abiy Adi,349.466,314.567,2764,,
Aboukir,-419.964,287.637,2764,,
Abramkovo,-330.86,-28.739,2764,,
Abruzzi,149.392,-304.327,2764,,
Abushiri,-267.585,326.475,2764,,
Acala,134.156,-124.34,2764,,
Acamar,39.543,-38.565,2764,,
Accrington,-10.088,144.968,2764,,
Achilles,44.858,-132.111,2764,,
Achnoly,638.819,199.142,2764,,
Achton,632.323,190.916,2764,,
Acoma,224.416,-62.259,2764,,
Aconcagua,-275.03,-189.625,2764,,
Acrux,-352.026,40.745,2764,,
Acubens,-52.221,-50.716,2764,,
Ad Duwayd,361.884,374.511,2764,,
Addasar,-29.439,-516.52,2764,,
Addicks,71.439,-0.696,2764,,
Adelaide,-250.471,315.316,2764,,
Adelson,472.766,-245.354,2764,,
Adhafera,-105.278,-51.227,2764,,
Adhara (Trip 3040+),-123.314,-468.96,2764,,
Adherlwin,-134.304,-418.682,2764,,
Adler,155.257,-210.669,2764,,
Adrar,-4.382,-409.233,2764,,
Adrian,449.254,28.13,2764,,
Aer (Finnalon 2822+),55.145,-187.635,2764,,
Afarsin,-216.314,-369.872,2764,,
Afleir,-51.281,-2.977,2764,,
Agador (Yance),69.791,51.65,2764,,
Agematsu,253.838,185.545,2764,,
Aggstein,219.606,-203.11,2764,,
Agliana,389.805,-289.562,2764,,
Agmond (Bornal 3130+),395.843,-140.358,2764,,
Aigle,-234.767,-19.069,2764,,
Aiguebelle,-384.879,101.539,2764,,
Aitutaki,-164.636,-166.561,2764,,
Aix-la-Chapelle,76.599,162.627,2764,,
Akfata,-381.799,176.248,2764,,
Al Hillah,-25.374,178.71,2764,,
Al Jafr,-412.829,12.108,2764,,
Al Jubaylah,-183.766,-281.832,2764,,
Al Na'ir,60.097,31.239,2764,,
Alarion,-319.706,138.602,2764,,
Albalii,71.079,78.532,2764,,
Albert Falls,-259.83,-132.288,2764,,
Albion (LC),-284.426,143.518,2764,,
Alchiba,-67.732,1.767,2764,,
Alcor,-74.708,28.904,2764,,
Alcyone,129.758,-197.583,2764,,
Aldebaran,24.813,-64.414,2764,,
Aldertaine,44.714,-191.043,2764,,
Aldrecht,150.833,88.192,2764,,
Alegro,429.841,144.618,2764,,
Alekseyevka,-403.504,183.741,2764,,
Alexandria (CC),110.827,-356.104,2764,,
Alexandria (LC),-57.639,115.993,2764,,
Alfirk,588.602,454.172,2764,,
Algate,323.626,378.128,2764,,
Algedi,66.07,94.935,2764,,
Algol,64.875,-67.773,2764,,
Algorab,-114.838,13.767,2764,,
Algot,85.816,-82.771,2764,,
Alhena,-82.471,-14.518,2764,,
Alioth,-58.94,13.908,2764,,
Alkaid,-94.096,47.002,2764,,
Alkalurops,-35.935,45.191,2764,,
Alkes,-114.781,-30.813,2764,,
Alktral,724.382,250.53,2764,,
All Dawn,-459.307,154.018,2764,,
Alleghe,-9.837,406.051,2764,,
Allerton,263.404,7.187,2764,,
Alma Alta,-183.568,186.071,2764,,
Almach,100.804,-61.569,2764,,
Almunge,163.624,396.997,2764,,
Alnadal,157.309,20.188,2764,,
Alnasi,2.838,116.017,2764,,
Alorton,-353.648,-85.871,2764,,
Alpha Eridani (Achernar),77.285,-32.361,2764,,
Alphard (FWL),-65.403,-52.005,2764,,
Alphecca,-46.79,61.987,2764,,
Alpheratz,502.785,152.898,2764,,
Alrakis,-19.908,81.891,2764,,
Alrescha,84.52,-49.416,2764,,
Alsek,315.617,-238.123,2764,,
Alshain,58.344,278.846,2764,,
Alta,-191.246,-218.099,2764,,
Alta Vista,506.635,12.881,2764,,
Altair,8.836,13.754,2764,,
Altais,37.222,109.811,2764,,
Altdorf,333.189,119.374,2764,,
Altenmarkt,13.692,223.805,2764,,
Alterf,-203.986,-154.867,2764,,
Althastan,-432.453,-26.15,2764,,
Althea's Choice,380.171,-340.187,2764,,
Alto,106.484,-194.18,2764,,
Altona,283.553,421.581,2764,,
Altoona (FS),550.569,-4.176,2764,,
Altoona (LC),-256.607,-6.274,2764,,
Altorra,-2.852,-263.495,2764,,
Alula Australis,-24.309,-4.696,2764,,
Alula Borealis,-258.995,-54.076,2764,,
Alya,26.359,96.629,2764,,
Alyina,-134.91,340.912,2764,,
Ambatomainty,701.409,175.022,2764,,
Amber,281.994,-377.916,2764,,
Amber Grove,272.879,-362.394,2764,,
Ambergrist,83.482,-257.545,2764,,
Ambrose,-226.176,427.523,2764,,
Amiga,165.17,-84.574,2764,,
Amity,-128.955,-30.813,2764,,
Amminadav,-411.245,199.515,2764,,
Ammon,624.274,213.175,2764,,
Amu Darya,33.408,-338.234,2764,,
An Ting,301.652,109.811,2764,,
Anaea,141.276,-115.621,2764,,
Anaheim,299.331,-311.764,2764,,
Anatolia (Pillory 3130+),-432.787,276.444,2764,,
Ancha,75.47,36.138,2764,,
Andalusia,391.342,-109.169,2764,,
Andarmax,-3.375,-386.492,2764,,
Andelys,455.043,-58.519,2764,,
Andro,144.745,-173,2764,,
Andurien,-41.335,-315.245,2764,,
Anegasaki,-49.375,-216.713,2764,,
Anembo,-288.729,314.793,2764,,
Angell,-98.231,-84.059,2764,,
Angelsey,124.219,-88.218,2764,,
Angol,87.88,-38.822,2764,,
Angra,390.616,-361.187,2764,,
Anguilla,411.779,79.279,2764,,
Anjin Muerto,586.511,-78.111,2764,,
Ankaa,74.697,-9.356,2764,,
Ankolika,-217.169,-221.273,2764,,
Annapolis,164.654,130.745,2764,,
Annunziata,-240.171,358.742,2764,,
Annwyn,-297.183,71.295,2764,,
Antallos (Port Krin),463.228,281.417,2764,,
Antares,-124.891,297.734,2764,,
Antias,-33.238,-385.416,2764,,
Antietam,330.86,-137.026,2764,,
Antipolo,-94.87,-268.848,2764,,
Anywhere,-167.214,436.029,2764,,
Aodh,-40.211,-195.324,2764,,
Aomen,-18.813,-323.119,2764,,
Aosia,112.622,-141.194,2764,,
Apinzel,-447.893,113.685,2764,,
Apolakkia,-116.375,340.389,2764,,
Apollo,-129.641,432.458,2764,,
Apostica,-59.712,155.306,2764,,
Apriki,173.189,121.448,2764,,
Apsalar,-121.355,562.115,2764,,
Aquagea,-56.903,-402.982,2764,,
Aquavita,-296.538,59.907,2764,,
Aquileia,-88.444,-27.883,2764,,
Arboris,43.158,-51.489,2764,,
Arcadia (FS),253.738,-88.601,2764,,
Arcadia (LC),-186.342,-8.057,2764,,
Arc-Royal,-170.389,226.576,2764,,
Arcturus,-78.068,174.436,2764,,
Ardoz,46.26,245.78,2764,,
Ares,95.382,-173.994,2764,,
Arganda,-154.824,36.138,2764,,
Argyle,255.384,-109.174,2764,,
Ariel,-115.773,-98.529,2764,,
Aristotle,-183.568,65.091,2764,,
Arkab,77.285,200.8,2764,,
Arlanda,-300.534,380.651,2764,,
Arlington,212.736,99.733,2764,,
Arluna,-281.493,333.921,2764,,
Armaxa,106.484,-205.806,2764,,
Armington,420.819,-303.736,2764,,
Armstrong,-488.302,12.607,2764,,
Arn (Jia Tian 3130+),-29.949,-419.973,2764,,
Arnaudville,583.659,36.658,2764,,
Arromanches,431.227,36.681,2764,,
Artru,165.999,-469.811,2764,,
Arundel,595.209,-121.347,2764,,
As Samik,346.889,-286.69,2764,,
Ascella,20.928,74.397,2764,,
Asellus Australis,-100.013,-113.832,2764,,
Asellus Borealis,-100.609,-118.192,2764,,
Asgard,126.654,266.198,2764,,
Ashburton,-263.453,-139.898,2764,,
Ashio,73.565,66.743,2764,,
Ashkum,111.924,-101.146,2764,,
Ashley,164.386,-308.391,2764,,
Aspropirgos,-119.143,-380.552,2764,,
Asta,4.129,25.543,2764,,
Asuncion,5.167,-101.64,2764,,
Athenry,17.569,30.974,2764,,
Athna,-27.056,-354.266,2764,,
Atlas,157.42,-244.069,2764,,
Atocongo,-170.88,245.262,2764,,
Atreus (FWL),-191.068,-163.776,2764,,
Atreus Prime,227.712,-373.559,2764,,
Atria,-16.034,51.65,2764,,
Atsugi,-201.11,-227.22,2764,,
Atzenbrugg,-377.644,-176.567,2764,,
Aubisson,4.386,146.514,2764,,
Aucara,176.54,-296.299,2764,,
August,-124.018,-115.591,2764,,
Augusta,282.265,-99.053,2764,,
Augustine,-43.697,-76.821,2764,,
Auldhouse,-51.012,139.198,2764,,
Aur,-146.796,134.372,2764,,
Austerlitz (Scauld 3130+),-432.673,306.258,2764,,
Australia,-304.298,289.472,2764,,
Autumn Wind,-167.512,-87.419,2764,,
Avawatz,164.91,-29.514,2764,,
Avellaneda,-57.652,-82.243,2764,,
Avigait,153.018,-275.094,2764,,
Avior,-116.865,-163.191,2764,,
Avon,150.086,250.796,2764,,
Avranches,324.654,102.398,2764,,
Awano,95.899,160.994,2764,,
Awyron,-265.18,411.661,2764,,
Axton,127.169,-113.236,2764,,
Ayacucho,-403.306,52.938,2764,,
Aylmer,-390.827,-141.977,2764,,
Ayn Tarma,-172.466,-302.746,2764,,
Azha,53.764,-51.489,2764,,
Azur,651.303,257.747,2764,,
Babaeski,-137.586,307.817,2764,,
Babuyan,87.88,223.29,2764,,
Bacum,157.152,-289.26,2764,,
Bad News,422.117,195.368,2764,,
Badlands,421.692,-354.196,2764,,
Badlands Cluster (Pirates Haven 3025+),424.959,-349.827,2764,,
Baggville,-308.21,330.433,2764,,
Bahl's Retreat,149.799,-163.6,2764,,
Bainsville,-141.443,-83.285,2764,,
Baker 3,-104.473,324.098,2764,,
Baldur,79.884,188.109,2764,,
Baliggora,590.773,154.367,2764,,
Balkan,-32.847,85.031,2764,,
Ballad,-269.75,-465.071,2764,,
Ballentine,236.552,21.565,2764,,
Ballynure,-82.203,246.295,2764,,
